"Song Title","Artist","Genre","Profanity Lines","Sentiment Annotation"
"everybody","nickiminaj","hiphop","these bitches fuck everybody 
a NIGGA tellin on everybody 
oh ayo move your feet and feel u ",""
"everybody","nickiminaj","hiphop","oh ayo move your feet and feel u 
all these BITCHES on my body 
spent another bag on my body ",""
"everybody","nickiminaj","hiphop","spent another bag on my body 
nah NIGGA you aint FUCKED a new body 
every whip heavy on it new body ",""
"everybody","nickiminaj","hiphop","spent another bag on my body 
nah NIGGA you aint FUCKED a new body 
every whip heavy on it new body ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"everybody","nickiminaj","hiphop","these bitches fuck everybody 
a NIGGA tellin on everybody 
oh move your feet and feel u ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"everybody","nickiminaj","hiphop","these bitches fuck everybody 
a NIGGA tellin on everybody 
oh move your feet and feel u ",""
"everybody","nickiminaj","hiphop","hollow points gonna go through your body 
washin them BITCHES bath and body 
he be kissin all over my body ",""
"everybody","nickiminaj","hiphop","he be kissin all over my body 
get his DICK stiffer than a roll body 
nother year nother vince lom body ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody this aint what you want 
these BITCHES FUCK everybody this aint what you want 
a nigga tellin on everybody this aint what you want ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody this aint what you want 
these BITCHES FUCK everybody this aint what you want 
a nigga tellin on everybody this aint what you want ",""
"everybody","nickiminaj","hiphop","these bitches fuck everybody this aint what you want 
a NIGGA tellin on everybody this aint what you want 
oh move your feet and feel u this aint what you want ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody this aint what you want 
these BITCHES FUCK everybody this aint what you want 
a nigga tellin on everybody this aint what you want ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody this aint what you want 
these BITCHES FUCK everybody this aint what you want 
a nigga tellin on everybody this aint what you want ",""
"everybody","nickiminaj","hiphop","these bitches fuck everybody this aint what you want 
a NIGGA tellin on everybody this aint what you want 
oh move your feet and feel u ",""
"everybody","nickiminaj","hiphop","they dont even know my body woah 
all my BITCHES get jealous body 
buy em all a bbl fore they got a body ",""
"everybody","nickiminaj","hiphop","one two three four five just throwin my high body 
beat so hard that a NIGGA might die move your feet and 
damn ",""
"everybody","nickiminaj","hiphop","beat so hard that a nigga might die move your feet and 
DAMN 
dddont stop the beat dont stop the beat this aint what you want ah ",""
"everybody","nickiminaj","hiphop","dddont stop the beat dont stop the beat this aint what you want ah 
all of my BITCHES get jealous dddont stop the beat dont stop the beat haha 
like an old school girl im still rockin them pelles dddont stop the beat dont stop the beat haha ",""
"everybody","nickiminaj","hiphop","like an old school girl im still rockin them pelles dddont stop the beat dont stop the beat haha 
got a young BITCH like a NIGGA own belly dddont stop the beat dont stop the beat haha 
himalayan pussy worth way more than the cali dddont stop the beat dont stop haha ",""
"everybody","nickiminaj","hiphop","like an old school girl im still rockin them pelles dddont stop the beat dont stop the beat haha 
got a young BITCH like a NIGGA own belly dddont stop the beat dont stop the beat haha 
himalayan pussy worth way more than the cali dddont stop the beat dont stop haha ",""
"everybody","nickiminaj","hiphop","got a young bitch like a nigga own belly dddont stop the beat dont stop the beat haha 
himalayan PUSSY worth way more than the cali dddont stop the beat dont stop haha 
good coochie worth way more than a what dont stop dont stop woah ",""
"everybody","nickiminaj","hiphop","good coochie worth way more than a what dont stop dont stop woah 
i like to see it from the front when i look at your BUTT dont stop dont stop 
she got the junk in her trunk thats the reason why im cuffed dont stop dont stop ",""
"everybody","nickiminaj","hiphop","i dont even care if my opp really my cousin dont stop dont stop 
all of my NIGGAS dont stop they slide with the button lets go lets go brrt brrt 
we gon spin and kill everybody ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"everybody","nickiminaj","hiphop","these bitches fuck everybody 
a NIGGA tellin on everybody 
oh move your feet and feel u ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"everybody","nickiminaj","hiphop","these bitches fuck everybody 
a NIGGA tellin on everybody 
oh move your feet and feel u ",""
"milliondollarbaby","tommyrichman","hiphop","im a million dollar baby mm mm mm 
dont at me yeah HELL nah yeah yeah yeah 
you rep my city for so damn long ah ah ",""
"milliondollarbaby","tommyrichman","hiphop","dont at me yeah hell nah yeah yeah yeah 
you rep my city for so DAMN long ah ah 
but you still dont notice me my sound next mm mm mm ",""
"milliondollarbaby","tommyrichman","hiphop","im a million dollar baby mm mm mm 
dont at me yeah HELL nah 
hellhell nah ",""
"hypnotize","notoriousbig","hiphop","ha sicker than your average poppa twist cabbage off instinct 
NIGGAS dont think SHIT stink 
pink gators my detroit players ",""
"hypnotize","notoriousbig","hiphop","ha sicker than your average poppa twist cabbage off instinct 
NIGGAS dont think SHIT stink 
pink gators my detroit players ",""
"hypnotize","notoriousbig","hiphop","bang every mc easily busily 
recently NIGGAS frontin aint sayin nothin nothin 
so i just speak my piece keep my peace come on ",""
"hypnotize","notoriousbig","hiphop","cubans with the jesus piece with my peeps thank you 
packin askin who want it you got it NIGGA flaunt it 
that brooklyn bullshit we on it ",""
"hypnotize","notoriousbig","hiphop","every cutie with a booty bought a coogi 
now whos the real dookie meaning whos really the SHIT 
them niggas ride dicks frank white push the six ",""
"hypnotize","notoriousbig","hiphop","now whos the real dookie meaning whos really the shit 
them NIGGAS ride dicks frank white push the six 
or the lexus lx four and a half ",""
"hypnotize","notoriousbig","hiphop","or the lexus lx four and a half 
bulletproof glass tints if i want some ASS 
gonna blast squeeze first ask questions last ",""
"hypnotize","notoriousbig","hiphop","thats how most of these socalled gangsters pass 
at last a NIGGA rappin about blunts and broads 
tits and bras mãnage ã  trois sex in expensive cars ",""
"hypnotize","notoriousbig","hiphop","at last a nigga rappin about blunts and broads 
TITS and bras mãnage ã  trois SEX in expensive cars 
ill still leave you on the pavement ",""
"hypnotize","notoriousbig","hiphop","at last a nigga rappin about blunts and broads 
TITS and bras mãnage ã  trois SEX in expensive cars 
ill still leave you on the pavement ",""
"hypnotize","notoriousbig","hiphop","face it not guilty thats how i stay filthy not guilty 
richer than richie til you NIGGAS come and get me come on 
biggie biggie biggie cant you see ",""
"hypnotize","notoriousbig","hiphop","guess thats why theyre broke and youre so paid 
i can fill you with real millionaire SHIT i can fill ya 
escargot my car go onesixty swiftly come on ",""
"hypnotize","notoriousbig","hiphop","your crew runrunrun your crew runrun 
i know you sick of this name brand NIGGA with 
flows girls say hes sweet like licorice ",""
"hypnotize","notoriousbig","hiphop","flows girls say hes sweet like licorice 
so get with this NIGGA its easy uhhuh 
girlfriend heres a pen call me round ten ",""
"hypnotize","notoriousbig","hiphop","girlfriend heres a pen call me round ten 
come through have SEX on rugs thats persian thats right 
come up to your job hit you while you workin ",""
"hypnotize","notoriousbig","hiphop","for certain poppa freakin not speakin 
leave that ASS leakin like rapper demo 
tell them ho take their clothes off slowly slowly ",""
"hypnotize","notoriousbig","hiphop","hit em with the force like obi obi 
DICK black like toby toby 
watch me roam like romey romey ",""
"likethat","future","hiphop","
gotta fire my joint up on this BITCH 
young metro young metro young metro three times ",""
"likethat","future","hiphop","stickin to the code all these hoes for the streets 
i put it in her nose its gon make her PUSSY leak 
pussy niggas told aint gon wake up out their sleep ",""
"likethat","future","hiphop","i put it in her nose its gon make her pussy leak 
PUSSY NIGGAS told aint gon wake up out their sleep 
you cant hear that switch but you can hear them niggas scream ",""
"likethat","future","hiphop","i put it in her nose its gon make her pussy leak 
PUSSY NIGGAS told aint gon wake up out their sleep 
you cant hear that switch but you can hear them niggas scream ",""
"likethat","future","hiphop","pussy niggas told aint gon wake up out their sleep 
you cant hear that switch but you can hear them NIGGAS scream 
all my hoes do shrooms nigga all my hoes do coke ",""
"likethat","future","hiphop","you cant hear that switch but you can hear them niggas scream 
all my hoes do shrooms NIGGA all my hoes do coke 
twentycarat ring i put my fingers down her throat uh uh uh ",""
"likethat","future","hiphop","i know she gon swallow she a goat uh uh uh 
freeband NIGGA bring the racks in 
got the shooters in the corner like the pack in ",""
"likethat","future","hiphop","got the shooters in the corner like the pack in 
she think cause she exotic BITCH she attractive 
thats that shitll get you put up out the section brrt ",""
"likethat","future","hiphop","ball like i won a championship game 
you know these hoes hungry theyre gon FUCK for a name 
i put her on the gang she get fucked for a chain ",""
"likethat","future","hiphop","you know these hoes hungry theyre gon fuck for a name 
i put her on the gang she get FUCKED for a chain 
got your girl in this bitch she twirlin on the dick ",""
"likethat","future","hiphop","i put her on the gang she get fucked for a chain 
got your girl in this BITCH she twirlin on the DICK 
i got syrup in this bitch turn up in this bitch ",""
"likethat","future","hiphop","i put her on the gang she get fucked for a chain 
got your girl in this BITCH she twirlin on the DICK 
i got syrup in this bitch turn up in this bitch ",""
"likethat","future","hiphop","got your girl in this bitch she twirlin on the dick 
i got syrup in this BITCH turn up in this BITCH 
and we brought the ercs in this bitch get murked in this bitch ",""
"likethat","future","hiphop","i got syrup in this bitch turn up in this bitch 
and we brought the ercs in this BITCH get murked in this BITCH 
all these pointers on me baby you know its game time ",""
"likethat","future","hiphop","all these pointers on me baby you know its game time 
bring a friend BITCH we FUCKED em at the same time 
im a different nigga no we not the same kind ",""
